keys,en
CardData.tailspin.description,Spin a wheel 4 ticks and draw 1 card.
CardData.tailspin.display_name,Tailspin
CardData.tap_tap.description,Three +-1 nudges on one ring.
CardData.tap_tap.display_name,Tap Tap
CardData.torque_wrench.description,Spin a wheel 5 ticks and gain a free nudge.
CardData.torque_wrench.display_name,Torque Wrench
CardData.twist.description,Spin a wheel 4 ticks.
CardData.twist.display_name,Twist
CardData.undock.description,Move a satellite to an adjacent slice.
CardData.undock.display_name,Undock
CardData.whirl.description,Spin a wheel 7 ticks.
CardData.whirl.display_name,Whirl
ClassData.botnet.description,Fights through drones that ride the whole netrun.
ClassData.botnet.display_name,Botnet
ClassData.breaker.description,Hits hard and spins harder. Perfect landings resolve the slice twice.
ClassData.breaker.display_name,Breaker
ClassData.ghost.description,Slips past resistance. Perfect landings strip the target's defences.
ClassData.ghost.display_name,Ghost
ClassData.hivemind.description,A Botnet whose swarm is bigger but never leaves the fight.
ClassData.hivemind.display_name,Hivemind
ClassData.overclocker.description,A Rigger that banks raw RAM instead of free nudges.
ClassData.overclocker.display_name,Overclocker
ClassData.phantom.description,A Ghost that dodges instead of slipping resistance.
ClassData.phantom.display_name,Phantom
ClassData.rigger.description,Runs hot on RAM. Perfect landings pay for the next move.
ClassData.rigger.display_name,Rigger
ClassData.wrecker.description,A Breaker that trades spin control for a heavier Perfect.
ClassData.wrecker.display_name,Wrecker
CorporationData.halcyon.description,"The contractor that runs the city: water, power, transit and the police, billed per resident."
CorporationData.halcyon.display_name,Halcyon Civic
CorporationData.meridian.description,"The logistics giant that moves everything, loses what it likes and bills you for the search."
CorporationData.meridian.display_name,Meridian Freight Systems
CorporationData.solace.description,Life-critical implants sold as the Continuum subscription. Miss a payment and the implant bricks.
CorporationData.solace.display_name,Solace Biosystems
DaemonData.adrenal_loop.description,Each Perfect heals 2.
DaemonData.adrenal_loop.display_name,Adrenal Loop
DaemonData.botnet_seed.description,Each Perfect deploys a 1-HP drone on the triggered slice (max 2).
DaemonData.botnet_seed.display_name,Botnet Seed
DaemonData.bounty_code.description,+1 Schematic banked after every won fight.
DaemonData.bounty_code.display_name,Bounty Code
DaemonData.cascade.description,Two Perfects in a row: +1 RAM.
DaemonData.cascade.display_name,Cascade
DaemonData.clean_signal.description,3 consecutive Perfects: -2 Heat.
DaemonData.clean_signal.display_name,Clean Signal
DaemonData.cold_exit.description,Finish a netrun without the Miss slice resolving: -3 Heat.
DaemonData.cold_exit.display_name,Cold Exit
DaemonData.fail_forward.description,The Miss slice restores 2 RAM.
DaemonData.fail_forward.display_name,Fail Forward
DaemonData.fault_tolerance.description,The Miss slice deals 3 damage to the pointer target.
DaemonData.fault_tolerance.display_name,Fault Tolerance
DaemonData.feedback_loop.description,Every card you play deals 1 damage to every enemy.
DaemonData.feedback_loop.display_name,Feedback Loop
DaemonData.field_medic.description,Heal 4 after every won fight.
DaemonData.field_medic.display_name,Field Medic
DaemonData.idle_armor.description,Gain 2 block at the start of every turn.
DaemonData.idle_armor.display_name,Idle Armor
DaemonData.kernel_sync.description,Each Perfect: +1 damage for the rest of the combat.
DaemonData.kernel_sync.display_name,Kernel Sync
DaemonData.linked_bus.description,"Nudging an enemy wheel also moves your wheel the same way, free."
DaemonData.linked_bus.display_name,Linked Bus
DaemonData.log_wiper.description,Finishing a netrun lowers Heat by 1.
DaemonData.log_wiper.display_name,Log Wiper
DaemonData.rack_skimmer.description,Capturing a Server Rack banks 3 extra Schematics.
DaemonData.rack_skimmer.display_name,Rack Skimmer
DaemonData.salvager.description,+5 Cycles after every won fight.
DaemonData.salvager.display_name,Salvager
DaemonData.scrubber.description,Capturing a Server Rack removes 1 Heat instead of adding it.
DaemonData.scrubber.display_name,Scrubber
DaemonData.shield_cache.description,Start every combat with 5 shield.
DaemonData.shield_cache.display_name,Shield Cache
DaemonData.static_field.description,"At the start of every turn, deal 1 damage to every enemy."
DaemonData.static_field.display_name,Static Field
DaemonData.stolen_intent.description,"Once per combat, when you would resolve Miss, swap resolved slices with the target."
DaemonData.stolen_intent.display_name,Stolen Intent
DaemonData.tuning_fork.description,Every nudge action grants 1 block.
DaemonData.tuning_fork.display_name,Tuning Fork
DaemonData.twin_pointer.description,Your wheel is also read at the bottom; both trigger. Max RAM halved.
DaemonData.twin_pointer.display_name,Twin Pointer
DaemonData.warm_boot.description,Start every combat with +2 RAM.
DaemonData.warm_boot.display_name,Warm Boot
DaemonData.zero_day.description,A Perfect on the Miss slice resolves as a 3x Crit.
DaemonData.zero_day.display_name,Zero Day
DefenseAssetData.bunker_turret.description,Built in: 3 damage to threats on the home server.
DefenseAssetData.bunker_turret.display_name,Bunker turret
DefenseAssetData.decoy.description,Pull 3: attracts threat routing.
DefenseAssetData.decoy.display_name,Decoy
DefenseAssetData.firewall_turret.description,Built in: 3 damage to threats on this node.
DefenseAssetData.firewall_turret.display_name,Firewall turret
DefenseAssetData.flak_array.description,"2 damage three times a step, range 1, targets the weakest threat."
DefenseAssetData.flak_array.display_name,Flak Array
DefenseAssetData.honeypot_node.description,Pull 5: strongly attracts threat routing.
DefenseAssetData.honeypot_node.display_name,Honeypot
DefenseAssetData.ice_lock.description,Holds a threat for 2 steps.
DefenseAssetData.ice_lock.display_name,ICE Lock
DefenseAssetData.railgun.description,"8 damage, range 2, targets the hardest-hitting threat."
DefenseAssetData.railgun.display_name,Railgun
DefenseAssetData.sentry.description,3 damage twice a step on its own node only. Sturdy.
DefenseAssetData.sentry.display_name,Sentry
DefenseAssetData.tar_pit.description,Holds a threat for 3 steps. Fragile.
DefenseAssetData.tar_pit.display_name,Tar Pit
DefenseAssetData.turret.description,"4 damage, range 1, targets the first threat in path."
DefenseAssetData.turret.display_name,Turret
EnemyData.account_manager.description,The senior process guarding the Server Rack. Escalates at half health.
EnemyData.account_manager.display_name,Account Manager
EnemyData.billing_daemon.description,Every hit comes with an invoice: attacks drain your RAM.
EnemyData.billing_daemon.display_name,Billing Daemon
EnemyData.botnet_drone.description,A Botnet drone: attacks with its slice and takes hits for you.
EnemyData.botnet_drone.display_name,Drone
EnemyData.care_drone.description,A swarm drone.
EnemyData.care_drone.display_name,Care Drone
EnemyData.care_swarm.description,A cloud of care drones around a fragile core.
EnemyData.care_swarm.display_name,Care Swarm
EnemyData.cargo_hauler.description,"Slow, heavy and hard to turn: inertia resists every nudge."
EnemyData.cargo_hauler.display_name,Cargo Hauler
EnemyData.city_manager.description,"Halcyon's local administrator, guarding the final Rack."
EnemyData.city_manager.display_name,City Manager
EnemyData.civic_core.description,"Halcyon's city brain. It keeps the lights on, and the bill running."
EnemyData.civic_core.display_name,The Civic Core
EnemyData.civic_drone.description,A Halcyon enforcement drone that shields its officer.
EnemyData.civic_drone.display_name,Civic Drone
EnemyData.claims_adjuster.description,Reads two claims at once. Elite.
EnemyData.claims_adjuster.display_name,Claims Adjuster
EnemyData.collections_agent.description,Solace debt collector with a bodyguard drone.
EnemyData.collections_agent.display_name,Collections Agent
EnemyData.collections_drone.description,A bodyguard drone docked on the Collections Agent.
EnemyData.collections_drone.display_name,Collections Drone
EnemyData.compliance_officer.description,Locks its wheel down with Hub-sourced resistance.
EnemyData.compliance_officer.display_name,Compliance Officer
EnemyData.conveyor_warden.description,Its read head rides the conveyor: the pointer orbits 3 ticks a turn.
EnemyData.conveyor_warden.display_name,Conveyor Warden
EnemyData.courier_drone.description,A Meridian delivery drone that shields its dispatcher.
EnemyData.courier_drone.display_name,Courier Drone
EnemyData.customs_scanner.description,Scans every packet and charges a tariff on the suspicious ones.
EnemyData.customs_scanner.display_name,Customs Scanner
EnemyData.dosage_dispenser.description,Doses the operative with CORRUPTED slices.
EnemyData.dosage_dispenser.display_name,Dosage Dispenser
EnemyData.drone_dispatcher.description,Launches a courier drone every other turn (up to 2).
EnemyData.drone_dispatcher.display_name,Drone Dispatcher
EnemyData.last_mile_enforcer.description,Orbits 2 ticks a turn and brings its own escort drone.
EnemyData.last_mile_enforcer.display_name,Last-Mile Enforcer
EnemyData.logistics_director.description,"Meridian middle management, guarding the final Rack."
EnemyData.logistics_director.display_name,Logistics Director
EnemyData.parking_warden.description,Writes Citations: your slice runs at half until you cleanse it.
EnemyData.parking_warden.display_name,Parking Warden
EnemyData.patrol_unit.description,"Policing-as-a-service. Hits hard, shields up."
EnemyData.patrol_unit.display_name,Patrol Unit
EnemyData.permit_office.description,"Shields, Citations and a civic drone every other turn."
EnemyData.permit_office.display_name,Permit Office
EnemyData.port_authority.description,Two readers and a customs wall: resistance 2.
EnemyData.port_authority.display_name,Port Authority
EnemyData.recall_unit.description,Its pointer creeps around the wheel every turn. Elite.
EnemyData.recall_unit.display_name,Recall Unit
EnemyData.renewal_engine.description,The Continuum subscription server. It renews itself faster than you can cut.
EnemyData.renewal_engine.display_name,Renewal Engine
EnemyData.riot_control.description,"Two readers, heavy block and a Citation for everyone."
EnemyData.riot_control.display_name,Riot Control
EnemyData.route_optimizer.description,Reads two routes at once: pointers at ticks 0 and 15.
EnemyData.route_optimizer.display_name,Route Optimizer
EnemyData.seed_drone.description,A one-hit drone sprouted by a Perfect landing.
EnemyData.seed_drone.display_name,Seed Drone
EnemyData.surveillance_mast.description,Hard to pin down: Evade slices and an orbiting read head.
EnemyData.surveillance_mast.display_name,Surveillance Mast
EnemyData.tariff_collector.description,Every hit is a fee: attacks drain RAM.
EnemyData.tariff_collector.display_name,Tariff Collector
EnemyData.the_manifest.description,Meridian's routing core. Every package on the planet passes through it.
EnemyData.the_manifest.display_name,The Manifest
EnemyData.transit_controller.description,Two readers on a slow loop: pointers 0 and 15 orbit 1 a turn.
EnemyData.transit_controller.display_name,Transit Controller
EnemyData.triage_unit.description,Patches itself up faster than you can cut it down.
EnemyData.triage_unit.display_name,Triage Unit
EnemyData.utility_meter.description,Heals itself on the public dime. Resistance 1.
EnemyData.utility_meter.display_name,Utility Meter
EnemyData.zoning_board.description,"Shields, heals and rezones its read head 2 ticks a turn."
EnemyData.zoning_board.display_name,Zoning Board
FirmwareData.barbed_wire.description,DEF slice also deals 2 damage to the pointer target.
FirmwareData.barbed_wire.display_name,Barbed Wire
FirmwareData.bulkhead.description,DEF and SHIELD slices: output +50%.
FirmwareData.bulkhead.display_name,Bulkhead
FirmwareData.burner.description,Permanently OVERCLOCKED (1.5x); each trigger adds 1 Heat.
FirmwareData.burner.display_name,Burner
FirmwareData.coolant_loop.description,"Once per combat, a Perfect on this slice lowers Heat by 1."
FirmwareData.coolant_loop.display_name,Coolant Loop
FirmwareData.counterstrike.description,EVADE slice also deals 4 damage to the pointer target.
FirmwareData.counterstrike.display_name,Counterstrike
FirmwareData.hardened.description,Slice permanently ENCRYPTED.
FirmwareData.hardened.display_name,Hardened
FirmwareData.leech.description,ATK slice restores 1 RAM on Good or better.
FirmwareData.leech.display_name,Leech
FirmwareData.mirror.description,Copies the neighbour on the side you landed; both on Perfect.
FirmwareData.mirror.display_name,Mirror
FirmwareData.nanite_mesh.description,HEAL slice: output +50% and it cleanses itself.
FirmwareData.nanite_mesh.display_name,Nanite Mesh
FirmwareData.overvolt.description,ATK and CRIT slices: output +25%.
FirmwareData.overvolt.display_name,Overvolt
FirmwareData.patch_plus.description,Slice output +50%.
FirmwareData.patch_plus.display_name,Patch+
FirmwareData.power_cell.description,SHIELD slice also restores 1 RAM.
FirmwareData.power_cell.display_name,Power Cell
FirmwareData.recycler.description,The Miss slice restores 2 RAM when it resolves.
FirmwareData.recycler.display_name,Recycler
FirmwareData.shunt.description,Resolves the neighbour on the side you landed toward at 1.5x; nothing special on Perfect.
FirmwareData.shunt.display_name,Shunt
FirmwareData.siphon.description,ATK slice heals you 2 on Good or better.
FirmwareData.siphon.display_name,Siphon
FirmwareData.skimmer.description,ATK slice: +3 Cycles on a Perfect (twice per combat).
FirmwareData.skimmer.display_name,Skimmer
FirmwareData.static_coat.description,DEF slice also grants 2 shield.
FirmwareData.static_coat.display_name,Static Coat
FirmwareData.tracer.description,ATK or CRIT slice strips 1 resistance from the target on a Perfect.
FirmwareData.tracer.display_name,Tracer
HomeServerVariantData.home_bunker.description,"70 integrity, 3 asset slots and a built-in turret: the home server fights back."
HomeServerVariantData.home_bunker.display_name,Bunker home server
HomeServerVariantData.home_standard.description,The default home server layout.
HomeServerVariantData.home_standard.display_name,Standard home server
HubCoreData.auto_renew.description,Heals 10 each turn unless the Hub is breached.
HubCoreData.auto_renew.display_name,Auto-Renew
HubCoreData.breaker_core.description,+1 spin on all cards. Perfect: the slice resolves twice.
HubCoreData.breaker_core.display_name,Breaker Core
HubCoreData.breaker_core_mk2.description,+2 spin on all cards. Perfect: the slice resolves twice and refunds RAM.
HubCoreData.breaker_core_mk2.display_name,Breaker Core Mk2
HubCoreData.compliance_lock.description,Spin resistance 3 while the Hub is online.
HubCoreData.compliance_lock.display_name,Compliance Lock
HubCoreData.emergency_powers.description,Heals 4 and gains 4 block each turn unless the Hub is breached.
HubCoreData.emergency_powers.display_name,Emergency Powers
HubCoreData.ghost_core.description,First nudge on an enemy wheel each turn ignores resistance. Perfect: strip 2 resistance and the slice resolves twice.
HubCoreData.ghost_core.display_name,Ghost Core
HubCoreData.ghost_core_mk2.description,"First two nudges on enemy wheels each turn ignore resistance. Perfect: strip 3 resistance, evade the next attack, and the slice resolves twice."
HubCoreData.ghost_core_mk2.display_name,Ghost Core Mk2
HubCoreData.hive_core.description,Up to 4 drones for this fight only. Perfect: dock a drone and the slice resolves again at half.
HubCoreData.hive_core.display_name,Hive Core
HubCoreData.hive_core_mk2.description,Up to 5 drones for this fight only. Perfect: dock a drone and the slice resolves again at half.
HubCoreData.hive_core_mk2.display_name,Hive Core Mk2
HubCoreData.overclock_core.description,+2 max RAM. Perfect: gain 2 RAM and the slice resolves again at half.
HubCoreData.overclock_core.display_name,Overclock Core
HubCoreData.overclock_core_mk2.description,+3 max RAM. Perfect: gain 3 RAM and the slice resolves again at half.
HubCoreData.overclock_core_mk2.display_name,Overclock Core Mk2
HubCoreData.phantom_core.description,A free nudge at the start of each turn. Perfect: evade the next attack and the slice resolves twice.
HubCoreData.phantom_core.display_name,Phantom Core
HubCoreData.phantom_core_mk2.description,Two free nudges at the start of each turn. Perfect: evade the next attack and the slice resolves twice.
HubCoreData.phantom_core_mk2.display_name,Phantom Core Mk2
HubCoreData.priority_routing.description,Gains 4 shield each turn unless the Hub is breached.
HubCoreData.priority_routing.display_name,Priority Routing
HubCoreData.rig_core.description,"+1 max RAM. Perfect: refund 1 RAM, gain a free nudge, and the slice resolves again at half."
HubCoreData.rig_core.display_name,Rig Core
HubCoreData.rig_core_mk2.description,"+2 max RAM. Perfect: refund 2 RAM, gain a free nudge, and the slice resolves again at half."
HubCoreData.rig_core_mk2.display_name,Rig Core Mk2
HubCoreData.swarm_core.description,"Up to 3 drones; drones persist between the fights of a netrun. Perfect: the slice resolves again at half; on a Deploy, a parasite halves the target slice."
HubCoreData.swarm_core.display_name,Swarm Core
HubCoreData.swarm_core_mk2.description,"Up to 4 drones that persist between fights. Perfect: the slice resolves again at half; on a Deploy, a parasite halves the target slice."
HubCoreData.swarm_core_mk2.display_name,Swarm Core Mk2
HubCoreData.wrecker_core.description,No spin bonus. Perfect: the slice resolves again at 1.5x.
HubCoreData.wrecker_core.display_name,Wrecker Core
HubCoreData.wrecker_core_mk2.description,+1 spin on all cards. Perfect: the slice resolves again at 1.5x.
HubCoreData.wrecker_core_mk2.display_name,Wrecker Core Mk2
NetrunBoostData.boost_field_kit.description,+2 max RAM in every combat of the next netrun.
NetrunBoostData.boost_field_kit.display_name,Field Kit
NetrunBoostData.boost_overclocked_deck.description,Two extra Jolt cards for the next netrun only.
NetrunBoostData.boost_overclocked_deck.display_name,Overclocked Deck
NetrunBoostData.boost_warm_cache.description,The next netrun starts with 40 Cycles.
NetrunBoostData.boost_warm_cache.display_name,Warm Cache
NetworkNodeData.bunker_firewall.description,The bunker's internal firewall layer.
NetworkNodeData.bunker_firewall.display_name,Internal Firewall
NetworkNodeData.compiler_rack.description,Netruns launched next to it start with a bonus card offer.
NetworkNodeData.compiler_rack.display_name,Compiler Rack
NetworkNodeData.firewall_relay.description,A Relay with a built-in turret and two asset slots.
NetworkNodeData.firewall_relay.display_name,Firewall Relay
NetworkNodeData.home_bunker_core.description,A hardened core behind an internal firewall.
NetworkNodeData.home_bunker_core.display_name,Bunker Core
NetworkNodeData.home_server.description,Lose the campaign if it reaches 0.
NetworkNodeData.home_server.display_name,Home Server
NetworkNodeData.proxy_relay.description,A Relay that scrubs 1 Heat after every completed netrun.
NetworkNodeData.proxy_relay.display_name,Proxy Relay
NetworkNodeData.relay.description,Extends your reach: Sites beyond it can be claimed.
NetworkNodeData.relay.display_name,Relay
NetworkNodeData.safehouse.description,Station an operative here between netruns.
NetworkNodeData.safehouse.display_name,Safehouse
NetworkNodeData.vault_terminal.description,+3 Schematics per completed netrun (+2 more next to a Firewall Relay). Raids go for it; building it provokes one.
NetworkNodeData.vault_terminal.display_name,Vault Terminal
ProfileUnlockData.unlock_botnet.description,Recruit Botnet operatives in every campaign.
ProfileUnlockData.unlock_botnet.display_name,Class: Botnet
ProfileUnlockData.unlock_compiler_rack.description,Unlocks the Compiler Rack node for every campaign.
ProfileUnlockData.unlock_compiler_rack.display_name,Node: Compiler Rack
ProfileUnlockData.unlock_ghost.description,Recruit Ghost operatives in every campaign.
ProfileUnlockData.unlock_ghost.display_name,Class: Ghost
ProfileUnlockData.unlock_halcyon.description,Target Halcyon Civic in new campaigns.
ProfileUnlockData.unlock_halcyon.display_name,Corporation: Halcyon Civic
ProfileUnlockData.unlock_hivemind.description,Recruit Hivemind operatives in every campaign.
ProfileUnlockData.unlock_hivemind.display_name,Class: Hivemind
ProfileUnlockData.unlock_home_bunker.description,"Start campaigns on the Bunker home server (70 integrity, 3 slots, built-in turret)."
ProfileUnlockData.unlock_home_bunker.display_name,Home server: Bunker
ProfileUnlockData.unlock_meridian.description,Target Meridian Freight Systems in new campaigns.
ProfileUnlockData.unlock_meridian.display_name,Corporation: Meridian Freight Systems
ProfileUnlockData.unlock_overclocker.description,Recruit Overclocker operatives in every campaign.
ProfileUnlockData.unlock_overclocker.display_name,Class: Overclocker
ProfileUnlockData.unlock_phantom.description,Recruit Phantom operatives in every campaign.
ProfileUnlockData.unlock_phantom.display_name,Class: Phantom
ProfileUnlockData.unlock_proxy_relay.description,Unlocks the Proxy Relay node for every campaign.
ProfileUnlockData.unlock_proxy_relay.display_name,Node: Proxy Relay
ProfileUnlockData.unlock_rigger.description,Recruit Rigger operatives in every campaign.
ProfileUnlockData.unlock_rigger.display_name,Class: Rigger
ProfileUnlockData.unlock_vault_terminal.description,Unlocks the Vault Terminal node for every campaign.
ProfileUnlockData.unlock_vault_terminal.display_name,Node: Vault Terminal
ProfileUnlockData.unlock_wrecker.description,Recruit Wrecker operatives in every campaign.
ProfileUnlockData.unlock_wrecker.display_name,Class: Wrecker
RaidData.raid_claim.display_name,Collections: Trespass
RaidData.raid_claim.warning_text,You built next to Solace property. A Collector is on its way.
RaidData.raid_hal_claim.display_name,Unlicensed Premises
RaidData.raid_hal_claim.warning_text,A new node without a Halcyon licence. An Inspector is on the way.
RaidData.raid_hal_heat_25.display_name,Code Violation
RaidData.raid_hal_heat_25.warning_text,Halcyon has logged a code violation at your address. Two Inspectors inbound.
RaidData.raid_hal_heat_50.display_name,Compliance Sweep
RaidData.raid_hal_heat_50.warning_text,A Halcyon compliance sweep is working your block. Inspectors and a Tow Truck inbound.
RaidData.raid_hal_heat_75.display_name,Eviction Order
RaidData.raid_hal_heat_75.warning_text,Halcyon has signed an eviction order. Bailiffs are coming.
RaidData.raid_hal_node_built.display_name,Building Permit Denied
RaidData.raid_hal_node_built.warning_text,Halcyon has denied your building permit. A Bailiff will enforce it.
RaidData.raid_hal_purge.display_name,Urban Renewal
RaidData.raid_hal_purge.warning_text,Halcyon has scheduled your district for urban renewal. Everything it has is coming.
RaidData.raid_hal_retaliation.display_name,Civil Penalty
RaidData.raid_hal_retaliation.warning_text,Halcyon traced the breach and issued a civil penalty.
RaidData.raid_hal_story.display_name,Public Interest Order
RaidData.raid_hal_story.warning_text,Halcyon has declared you a matter of public interest.
RaidData.raid_heat_25.display_name,Collections: First Notice
RaidData.raid_heat_25.warning_text,Solace Collections has flagged your traffic. Two Collectors inbound.
RaidData.raid_heat_50.display_name,Collections: Second Notice
RaidData.raid_heat_50.warning_text,An Auditor rides with the Collectors this time.
RaidData.raid_heat_75.display_name,Collections: Final Notice
RaidData.raid_heat_75.warning_text,"An Enforcer has been assigned to your account, with a Lockdown Unit to freeze your busiest link."
RaidData.raid_mer_claim.display_name,Address Verification
RaidData.raid_mer_claim.warning_text,A new node on Meridian's map. A Courier is verifying the address.
RaidData.raid_mer_heat_25.display_name,Delivery Exception
RaidData.raid_mer_heat_25.warning_text,Meridian has flagged a delivery exception at your address. Two Couriers inbound.
RaidData.raid_mer_heat_50.display_name,Route Audit
RaidData.raid_mer_heat_50.warning_text,A Meridian route audit is sweeping your links. Couriers and a Customs Agent inbound.
RaidData.raid_mer_heat_75.display_name,Freight Seizure
RaidData.raid_mer_heat_75.warning_text,Meridian is seizing freight in your district. Haulers are rolling.
RaidData.raid_mer_node_built.display_name,Unregistered Depot
RaidData.raid_mer_node_built.warning_text,Meridian logged an unregistered depot. A Hauler is on its way.
